filename,Arabika,Liberika,Robusta
44_jpg.rf.0035bca5c2b70acc83b0c5ec61321639.jpg,0,0,1
145_jpg.rf.000cecb366c81c53bff554431057fbc2.jpg,0,0,1
31_jpg.rf.0048d8b2044dcbefa00e45f635ae9754.jpg,1,0,0
110_jpg.rf.004c1f4e5a412d05ad248fef2958d75e.jpg,1,0,0
22_jpg.rf.006b92944a9eeee77a7b6aa6e740b8f5.jpg,1,0,0
52_jpg.rf.002d52764b9dba1a16d1930e1019653f.jpg,0,0,1
127_jpg.rf.008200dadcc229fc80574c6f646ce2c1.jpg,0,0,1
129_jpg.rf.007775113bc8893dab439f126a768532.jpg,0,0,1
151_jpg.rf.00456f18237a8f559e4abb2313c40732.jpg,1,0,0
71_jpg.rf.004df720adb5af54e05c11f94a8c618f.jpg,1,0,0
108_jpg.rf.0043892d13f72236827469dd438fb789.jpg,1,0,0
38_jpg.rf.0139f799da7e75c59875b31afca71dd5.jpg,0,0,1
32_jpg.rf.00433b5738d5551ae11910dd04aec2ad.jpg,1,0,0
39_jpg.rf.01469a39c03df8149007c04d54d22188.jpg,1,0,0
120_jpg.rf.00d75c7ec94e314562311faa3b733152.jpg,1,0,0
17_jpg.rf.00394af9d0f17da018a268747764f6f1.jpg,0,0,1
119_jpg.rf.00e0901f976ada3c646bbbc95d25f00b.jpg,0,0,1
158_jpg.rf.013017740b298e643aa2fadba3843eda.jpg,1,0,0
54_jpg.rf.015e2adf9c575fd69f19aa234406a047.jpg,0,0,1
143_jpg.rf.009e927cb73fac3bd3a86c89745b88f7.jpg,1,0,0
114_jpg.rf.00db88d73e3cd3e859f16d79212f1f74.jpg,1,0,0
90_jpg.rf.00cb063d3be18bcd97a0b2752440fb0c.jpg,1,0,0
152_jpg.rf.00e28dd279685ff2e1d97c112622182e.jpg,0,0,1
49_jpg.rf.01323a70b4b43ee77df74ed04adc21a2.jpg,1,0,0
24_jpg.rf.0098b15e51f1cec72f13da45e6055432.jpg,0,0,1
99_jpg.rf.0093a32c2a3a82b78fed3aa4bac240ef.jpg,1,0,0
87_jpg.rf.019774b0c428c5c430c7121718e04101.jpg,1,0,0
62_jpg.rf.014dbb95f6cb95c8580d437495851aa6.jpg,0,0,1
130_jpg.rf.01349e713b162ae2ec868821df35df6e.jpg,1,0,0
103_jpg.rf.0157680728cc7d86ec2e9500b995c6f2.jpg,1,0,0
147_jpg.rf.01635743c37722667411a43b8753bf4c.jpg,1,0,0
125_jpg.rf.0141bcbc09a9614411a3a1502bd8ade6.jpg,0,0,1
150_jpg.rf.00c2cbf6315c39089c8503b9a173e53a.jpg,1,0,0
72_jpg.rf.01646027d6cfdd0f02aa256b0087a661.jpg,1,0,0
21_jpg.rf.01647fb1ccfcce2f00025a37f8e7dabe.jpg,1,0,0
4_jpg.rf.01a635901d07601953b7391b26a3cbe8.jpg,0,1,0
